seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12749,2024,GER.2,9707,34107,23,6,23,19,4,0,0,2,0,4,17,1,0,0,26,2025-03-19 04:49:14
12749,2024,GER.2,133,40791,19,0,12,17,1,0,0,0,0,27,49,13,0,0,36,2025-03-19 04:49:18
12749,2024,GER.2,270,79941,34,0,0,3,1,0,0,0,3,0,0,0,280,78,36,2024-07-13 02:50:48
12749,2024,GER.2,133,85917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-19 04:49:18
12749,2024,GER.2,122,89497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-19 04:49:14
12749,2024,GER.2,7013,98132,29,6,14,33,5,0,0,2,1,5,26,1,0,11,45,2024-07-13 02:50:52
12749,2024,GER.2,270,115304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:48
12749,2024,GER.2,9867,118466,22,13,9,15,5,0,0,3,0,10,18,0,0,0,14,2025-03-19 04:49:16
12749,2024,GER.2,2428,121007,26,0,0,3,2,0,0,0,0,0,0,0,0,84,26,2025-03-19 04:49:15
12749,2024,GER.2,9707,121011,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-03-19 04:49:14
12749,2024,GER.2,127,121013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-19 04:49:15
12749,2024,GER.2,11017,121545,3,2,1,1,1,0,0,0,0,0,0,0,0,0,6,2025-03-19 04:49:17
12749,2024,GER.2,3769,121547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:48
12749,2024,GER.2,7884,122289,31,6,39,43,8,1,0,7,8,12,50,5,0,2,22,2024-07-13 02:50:46
12749,2024,GER.2,269,122397,9,5,4,6,0,0,0,1,0,4,8,1,0,0,7,2025-01-23 05:35:32
12749,2024,GER.2,9867,122397,17,6,11,11,1,0,0,1,0,10,21,2,0,0,13,2025-03-19 04:49:16
12749,2024,GER.2,7013,122680,12,11,9,8,3,0,0,1,0,0,5,0,0,2,9,2024-07-13 02:50:52
12749,2024,GER.2,4471,123071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-19 04:49:16
12749,2024,GER.2,10388,123772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-19 04:49:18
12749,2024,GER.2,4471,132690,24,0,8,9,1,0,0,1,0,5,23,1,0,0,42,2025-03-19 04:49:16
12749,2024,GER.2,133,136593,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-22 04:57:41
12749,2024,GER.2,3067,136593,22,14,26,15,1,0,0,2,0,9,15,1,0,0,20,2025-03-19 04:49:19
12749,2024,GER.2,3307,137226,5,0,1,0,0,1,0,0,0,0,0,0,0,11,4,2025-03-19 04:49:17
12749,2024,GER.2,2428,137433,16,5,6,15,3,0,0,0,0,3,8,2,0,0,10,2025-03-19 04:49:15
12749,2024,GER.2,7013,138168,6,0,3,6,0,0,0,0,0,0,3,0,0,5,13,2024-07-13 02:50:52
12749,2024,GER.2,3307,140765,21,16,16,7,1,1,0,2,0,14,32,7,0,0,8,2025-03-19 04:49:17
12749,2024,GER.2,3812,141327,13,13,8,0,3,0,0,3,0,3,5,0,0,0,6,2025-03-19 04:49:18
12749,2024,GER.2,2428,141689,24,12,26,17,2,0,0,2,0,10,32,2,0,0,11,2025-03-19 04:49:15
12749,2024,GER.2,15710,144025,4,3,2,0,1,0,0,0,0,0,1,0,0,0,3,2025-03-19 04:49:17
12749,2024,GER.2,269,148944,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,2025-03-19 04:49:14
12749,2024,GER.2,122,149391,6,6,3,0,0,0,0,0,0,0,1,0,0,0,0,2025-03-19 04:49:14
12749,2024,GER.2,7884,149963,26,3,20,32,2,0,0,4,12,24,59,10,0,2,22,2024-07-13 02:50:46
12749,2024,GER.2,9707,150220,23,3,11,9,8,0,0,0,0,3,13,0,0,0,30,2025-03-19 04:49:14
12749,2024,GER.2,122,151464,19,9,12,9,2,0,1,2,0,5,14,2,0,0,8,2025-03-19 04:49:14
12749,2024,GER.2,7013,152620,19,0,0,4,2,0,0,1,4,0,0,0,253,71,32,2024-07-13 02:50:52
12749,2024,GER.2,2428,153001,23,16,9,3,1,0,0,1,0,8,25,2,0,0,7,2025-03-19 04:49:15
12749,2024,GER.2,15710,153272,7,4,2,3,0,0,0,0,0,0,0,0,0,0,4,2025-03-19 04:49:17
12749,2024,GER.2,3067,153319,26,0,16,21,4,0,0,0,0,5,13,2,0,0,46,2025-03-19 04:49:19
12749,2024,GER.2,3070,153489,21,3,16,30,5,0,0,4,0,13,45,1,0,0,20,2025-03-19 04:49:19
12749,2024,GER.2,9707,153489,14,3,12,19,4,0,0,0,0,10,32,1,0,0,7,2025-01-14 05:29:36
12749,2024,GER.2,270,153654,4,4,0,0,0,0,0,0,0,1,2,0,0,0,0,2024-07-13 02:50:48
12749,2024,GER.2,129,154087,20,5,13,4,4,0,0,1,0,2,7,0,0,0,24,2025-03-19 04:49:15
12749,2024,GER.2,133,154394,20,2,15,8,5,0,0,1,0,2,8,0,0,0,28,2025-03-19 04:49:18
12749,2024,GER.2,129,154407,14,4,15,12,2,0,0,1,0,0,5,0,0,0,17,2025-03-19 04:49:15
12749,2024,GER.2,269,157466,26,0,14,14,0,0,0,2,0,6,11,1,0,0,38,2025-03-19 04:49:14
12749,2024,GER.2,4471,158940,24,0,13,15,4,0,0,0,0,3,13,2,0,0,36,2025-03-19 04:49:16
12749,2024,GER.2,269,159115,24,5,17,10,2,0,0,0,0,2,14,2,0,0,29,2025-03-19 04:49:14
12749,2024,GER.2,2428,159337,21,1,21,30,5,0,0,0,0,1,11,0,0,0,20,2025-03-19 04:49:15
12749,2024,GER.2,130,160023,4,2,1,1,0,0,0,1,0,2,7,1,0,0,3,2025-03-19 04:49:16
12749,2024,GER.2,129,162096,22,11,10,19,3,0,0,0,0,14,24,5,0,0,16,2025-03-19 04:49:15
12749,2024,GER.2,128,162111,33,0,0,2,3,1,0,0,6,0,2,0,445,116,52,2024-07-13 02:50:50
12749,2024,GER.2,3812,164830,13,11,4,4,1,0,0,0,0,0,4,0,0,0,8,2025-03-19 04:49:18
12749,2024,GER.2,133,164919,19,8,1,9,1,0,0,1,0,2,5,1,0,0,21,2025-03-19 04:49:18
12749,2024,GER.2,133,165764,3,0,0,1,0,0,0,0,0,0,0,0,0,11,3,2025-03-19 04:49:18
12749,2024,GER.2,122,167683,22,6,24,7,6,0,0,2,0,2,10,0,0,0,17,2025-03-19 04:49:14
